GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(PlayerName-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2 rank),OrdinalPosition(Player-4 rank),OrdinalPosition(Player-1 rank),OrdinalPosition(Player-4),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),OrdinalPosition(PlayerName-4),FinalScore(PlayerName-0),FinalScore(Player-4),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),FinalScore(PlayerName-4),WinnerType(WinnerType),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-4),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3),GameScore(PlayerName-4),Winner(PlayerIdx)
510837275,Descent2e,6,GAME_OVER,166,0,5,2,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(8,7)","(1,16)","(7,3)","(8,2)","(3,17)","(2,15)","(4,16)","(3,11)","(5,7)","(5,17)","(4,8)","(4,6)","(7,4)",8,4,7,2,2,12,10,2,2,12,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-1489172791,Descent2e,12,GAME_OVER,348,0,5,3,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,4)","(1,16)","(3,3)","(9,6)","(2,15)","(1,15)","(4,16)","(10,10)","(3,17)","(2,7)","(4,7)","(7,14)","(10,5)",8,4,7,2,2,14,10,2,1,12,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-1616619103,Descent2e,9,GAME_OVER,264,0,5,4,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(8,4)","(8,17)","(6,3)","(3,3)","(4,17)","(3,17)","(6,16)","(4,7)","(6,15)","(4,11)","(2,7)","(8,7)","(6,4)",12,4,7,2,2,10,8,2,2,7,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-1997911799,Descent2e,8,GAME_OVER,252,0,5,5,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,3)","(1,16)","(9,6)","(5,3)","(3,14)","(6,17)","(2,16)","(3,7)","(2,7)","(4,7)","(5,8)","(5,16)","(9,5)",10,2,7,2,2,10,10,2,2,3,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-853249650,Descent2e,5,GAME_OVER,113,0,5,6,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(11,5)","(1,16)","(9,4)","(6,4)","(1,15)","(2,15)","(8,8)","(2,5)","(3,7)","(3,6)","(3,5)","(6,16)","(9,2)",12,4,7,2,2,10,8,2,2,10,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
2094340922,Descent2e,5,GAME_OVER,149,1,5,7,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(8,2)","(2,16)","(11,5)","(7,3)","(1,15)","(4,17)","(4,16)","(2,7)","(4,7)","(3,6)","(5,7)","(3,16)","(10,3)",12,4,7,2,2,8,12,2,2,8,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-2111452579,Descent2e,6,GAME_OVER,160,0,5,8,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(10,6)","(2,16)","(9,3)","(9,6)","(1,16)","(2,15)","(5,16)","(3,10)","(5,8)","(3,16)","(5,12)","(5,7)","(10,3)",14,4,7,2,2,8,12,2,2,8,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
1492245547,Descent2e,4,GAME_OVER,91,0,5,9,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,2)","(1,15)","(8,6)","(11,4)","(1,16)","(2,15)","(7,12)","(2,6)","(3,8)","(6,14)","(5,7)","(6,17)","(6,2)",10,4,7,2,2,8,10,2,2,12,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-103559468,Descent2e,5,GAME_OVER,154,0,5,10,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,4)","(6,17)","(7,3)","(6,5)","(2,16)","(1,16)","(8,11)","(5,7)","(8,2)","(2,5)","(2,7)","(4,17)","(7,7)",12,4,7,2,2,12,8,2,2,10,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
206270627,Descent2e,6,GAME_OVER,160,4,5,11,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(11,4)","(1,15)","(8,3)","(11,6)","(3,14)","(1,16)","(5,17)","(4,11)","(2,7)","(4,14)","(4,7)","(8,6)","(8,2)",8,4,7,2,2,8,8,2,2,12,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
