GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-0 rank,Player-2 rank,Player-4 rank,Player-1 rank,Player-4,Player-1,Player-0,Player-3,Player-3 rank,Player-2,PlayerName-1,PlayerName-2,PlayerName-3,PlayerName-4
510837275,Descent2e,6,GAME_OVER,166,0,5,2,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1489172791,Descent2e,12,GAME_OVER,348,0,5,3,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1616619103,Descent2e,9,GAME_OVER,264,0,5,4,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1997911799,Descent2e,8,GAME_OVER,252,0,5,5,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-853249650,Descent2e,5,GAME_OVER,113,0,5,6,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
2094340922,Descent2e,5,GAME_OVER,149,1,5,7,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-2111452579,Descent2e,6,GAME_OVER,160,0,5,8,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1492245547,Descent2e,4,GAME_OVER,91,0,5,9,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-103559468,Descent2e,5,GAME_OVER,154,0,5,10,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
206270627,Descent2e,6,GAME_OVER,160,4,5,11,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
