GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerIdx
510837275,Descent2e,6,GAME_OVER,166,0,5,2,0
-1489172791,Descent2e,12,GAME_OVER,348,0,5,3,0
-1616619103,Descent2e,9,GAME_OVER,264,0,5,4,0
-1997911799,Descent2e,8,GAME_OVER,252,0,5,5,0
-853249650,Descent2e,5,GAME_OVER,113,0,5,6,0
2094340922,Descent2e,5,GAME_OVER,149,1,5,7,0
-2111452579,Descent2e,6,GAME_OVER,160,0,5,8,0
1492245547,Descent2e,4,GAME_OVER,91,0,5,9,0
-103559468,Descent2e,5,GAME_OVER,154,0,5,10,0
206270627,Descent2e,6,GAME_OVER,160,4,5,11,0
